Account No,Organisation,City,Country,Region,Access,C40,Reporting year,Risks to city's water supply,​Adaptation action,Action description,City Location,Country Location
54104,City of Boulder,Boulder,USA,North America,Public,,2017,Other: Reliability,Municipal water efficiency retrofits,Received a DOE REDI grant to explore design and installation of renewable energy back-up system at one of two water treatment plants.,"(40.0274, -105.2519)","(37.09024, -95.712891)"
54046,City of Brownsville,Brownsville,USA,North America,Public,,2017,Increased water stress or scarcity,Watershed preservation,"Resacas, former channels of the Rio Grande, are a vital part of Brownsville as they help control floodwaters and provide raw water storage to supplement the city's water supply. In 2013, the Brownsville Public Utilities Board launched a Resaca Restoration Project which will dredge Brownsville's resacas from the sediment, trash and other debris that has built up over the years.","(25.9017, -97.4975)","(37.09024, -95.712891)"
54046,City of Brownsville,Brownsville,USA,North America,Public,,2017,Regulatory,Water use restrictions,"Every year on May 1, the Brownsville Public Utilities Board implements a Stage 1 Voluntary Water Use Restriction in anticipation of the hot South Texas summers. This is considered Stage 1 of the drought plan.","(25.9017, -97.4975)","(37.09024, -95.712891)"
35857,City of Cincinnati,Cincinnati,USA,North America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),"Cincinnati is investing a great deal of resources to maintain current infrastructure for stormwater management and to develop new, green infrastructure.

In order to reduce the incidence and volume of combined sewer overflows within the Mill Creek Watershed in Cincinnati, grey and green infrastructure improvements are being implemented throughout the watershed. Plans for this project include new storm sewers, bioswales, stream restoration, stormwater detention basins, bioinfiltration gardens, and the creation of a mile-long bioengineered creek. This project is expected to be completed in 2017 and will eliminate about 379 million gallons of CSOs annually and ensure that 88% of the flows during a typical year of rain will either reach the Mill Creek treatment plant or be discharged as stormwater to the Mill Creek.","(39.1031, -84.512)","(37.09024, -95.712891)"
35857,City of Cincinnati,Cincinnati,USA,North America,Public,,2017,Higher water prices,Use of non-potable water outside,"Currently, the Cincinnati Municipal Sewer District (MSD) uses water recycling measures to supply grey water for facility uses. Discussion has begun around selling grey water to a nearby golf course, or offering grey water incentives to encourage new construction near the treatment plant. The treatment plant also has a green water collection system and sells rain barrels to the public for home use.","(39.1031, -84.512)","(37.09024, -95.712891)"
35857,City of Cincinnati,Cincinnati,USA,North America,Public,,2017,Regulatory,Efficiency regulations or standards,Cincinnati MSD has plans to incorporate a high-efficiency scrubber into its sewage sludge incineration process in order to meet EPA regulations for mercury emission.,"(39.1031, -84.512)","(37.09024, -95.712891)"
35859,City of Cleveland,Cleveland,USA,North America,Public,,2017,Inadequate or aging infrastructure,Stormwater management (natural or man-made infrastructure),"The Kerruish Stormwater Control Facility Dam is used for flood control purposes. The improvement project consisted of clearing and grubbing of the dam area, removing trees, repairing the dam structure including primary spillway, construction of a new emergency secondary spillway and constructing access roadways. This project improved the structure of the dam, the hydraulics during a major storm, the water quality and enhance aquatic habitat.

At the same time, the Cleveland Water Department is analyzing the leaks in the drinking water distribution system. The Cleveland Division of Water Pollution Control also worked with the U.S. EPA in 2015 to assess its resiliency to climate change, using the CREAT tool.","(41.4993, -81.6944)","(37.09024, -95.712891)"
35859,City of Cleveland,Cleveland,USA,North America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),"The Big Creek Watershed Plan identifies numerous priority conservation and development areas, as well as opportunities for stormwater retrofits. Considering the urban nature of Big Creek, stormwater retrofits are the primary means for improving watershed function and expanding green infrastructure. The City is also actively pursuing a large increase in Cleveland's urban tree canopy, which will not only sequester carbon, but also provide an additional buffer against flooding. The Cleveland Tree Plan, released in 2015, summarizes the city's approach to becoming the ""forest city"" once again.

In 2017, the Trust for Public Land is working to implement their Climate-Smart Cities program in Cleveland. Part of this project will prioritize green infrastructure locations based on a variety of factors, including location of flooding in Cleveland.","(41.4993, -81.6944)","(37.09024, -95.712891)"
50551,City of Long Beach,Long Beach,USA,North America,Public,,2017,Increased water stress or scarcity,Conservation incentives,"Lawn to Garden rebates, $3.50 per square foot of front lawn removed","(33.7701, -118.1937)","(37.09024, -95.712891)"
50551,City of Long Beach,Long Beach,USA,North America,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,,"(33.7701, -118.1937)","(37.09024, -95.712891)"
73240,Tuzla Municipality,Tuzla,Turkey,Europe,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,,"(44.537461, 18.673469)","(38.963745, 35.243322)"
54108,City of Durham,Durham,USA,North America,Public,,2017,Increased water stress or scarcity,Water use restrictions,"year-round water restrictions are in place, we are also doing education, and adding new water sources.","(35.994, -78.8986)","(37.09024, -95.712891)"
54108,City of Durham,Durham,USA,North America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),We are putting in more green infrastructure.,"(35.994, -78.8986)","(37.09024, -95.712891)"
50549,City of Fort Worth,Fort Worth,USA,North America,Public,,2017,Higher water prices,Water use restrictions,Residential landscape watering restrictions; incentives for low-flow household plumbing fixtures.,"(32.7555, -97.3308)","(37.09024, -95.712891)"
54078,City of Hayward,Hayward,USA,North America,Public,,2017,Increased water stress or scarcity,Water use restrictions,Hayward residents have reduced water use by roughly 21% since June 2015 due to voluntary measures and increases in water rates. The San Francisco Public Utilities Commission asks customers to voluntarily reduce their consumption by 10%.,"(37.6689, -122.0808)","(37.09024, -95.712891)"
54078,City of Hayward,Hayward,USA,North America,Public,,2017,Higher water prices,Conservation incentives,"Hayward offers free faucet aerators and efficient showerheads. The City also participates in regional programs to incentivize efficient landscaping, turf removal, toilets, and water catchment (rain barrels). 
Some City facilities, such as the Utilities Building, and traffic medians have received a 'makeover' with the installation of water efficient landscaping.","(37.6689, -122.0808)","(37.09024, -95.712891)"
55418,City of Huntington Beach,Huntington Beach,USA,North America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"The City has reduced water usage by limiting watering to 2 days per week and prohibiting any watering between the hours of 9-5pm. Irrigation is limited to no more than 10 minutes per day, no excessive water runoff from irrigation onto sidewalks of streets. No watering is allowed during or 48 hours after measureable rainfall. Washing down hard or paved surfaces is prohibited and leaks must be repaired within 72 hours of notification. Residents and businesses have been conserving water and this has been achieved through targeted behavioral change messaging and community outreach events. The city also has the Surf City Pipeline an online water waste reporting system and service request line as well as online water conservation tools to help residents learn ways they can conserve water, and offers free outdoor and indoor home water surveys and recommend water savings efforts.","(33.6603, -117.9992)","(37.09024, -95.712891)"
54075,City of Lakewood,Lakewood,USA,North America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"Lakewood provides education information for the public, is conservative in its water use in City parks, and uses xeriscape principles in its medians and on other city property.","(39.7047, -105.0814)","(37.09024, -95.712891)"
54075,City of Lakewood,Lakewood,USA,North America,Public,,2017,Declining water quality,Watershed preservation,"The City is a member of the Bear Creek Watershed Management Association and works to carry out the Bear Creek Watershed Plan, which includes monitoring, technical assistance, education, and other strategies to improve water quality.","(39.7047, -105.0814)","(37.09024, -95.712891)"
54075,City of Lakewood,Lakewood,USA,North America,Public,,2017,Inadequate or aging infrastructure,Stormwater management (natural or man-made infrastructure),Lakewood increased stormwater fees to accelerate the implementation of flood infrastructure projects.,"(39.7047, -105.0814)","(37.09024, -95.712891)"
54075,City of Lakewood,Lakewood,USA,North America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),The City increased its stormwater utility service charge to accelerate drainage improvements that will reduce flooding. The City considers green infrastructure technologies when designing new stormwater improvements.,"(39.7047, -105.0814)","(37.09024, -95.712891)"
54057,City of Lancaster,Lancaster,USA,North America,Public,,2017,Increased water stress or scarcity,Water use restrictions,"Local water providers are monitoring water use very closely, water prices have also increased to encourage conservation.","(40.0379, -76.3055)","(37.09024, -95.712891)"
50551,City of Long Beach,Long Beach,USA,North America,Public,,2017,Higher water prices,Water metering,Installation of smart water metering,"(33.7701, -118.1937)","(37.09024, -95.712891)"
36410,City of Memphis,Memphis,USA,North America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"Most of Memphis's drinking water supply protection efforts to date have focused on awareness and education, research and testing, and renewed collaborative efforts to address water issues, not just drinking water, comprehensively.","(35.149534, -90.04898)","(37.09024, -95.712891)"
36410,City of Memphis,Memphis,USA,North America,Public,,2017,Declining water quality,Conservation awareness and education,"Most of Memphis's drinking water supply protection efforts to date have focused on awareness and education, research and testing, and renewed collaborative efforts to address water issues, not just drinking water, comprehensively.","(35.149534, -90.04898)","(37.09024, -95.712891)"
35870,City of Miami,Miami,USA,North America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),,"(25.7617, -80.1918)","(37.09024, -95.712891)"
35870,City of Miami,Miami,USA,North America,Public,,2017,Declining water quality,Conservation awareness and education,,"(25.7617, -80.1918)","(37.09024, -95.712891)"
35870,City of Miami,Miami,USA,North America,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,,"(25.7617, -80.1918)","(37.09024, -95.712891)"
55419,City of Miramar,Miramar,USA,North America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,The City staff attends various workshops on how to reduce water stress and scarcity. Likewise the City recommends landscaping which low/no water use and appliances which are low-flow (even noting ways to receive such products for free/low cost).,"(25.986076, -80.30356)","(37.09024, -95.712891)"
55419,City of Miramar,Miramar,USA,North America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),"The City's engineering and public works departments are active in all development meetings to make certain that the possibilities of flooding are reduced as much as possible. Likewise routine conferences are attended to learn what are the most widely-used and highly-effective forms of stormwater management practices--not necessarily in the area, but also abroad.","(25.986076, -80.30356)","(37.09024, -95.712891)"
50560,City of Oakland,Oakland,USA,North America,Public,,2017,Increased water stress or scarcity,Municipal water efficiency retrofits,"State wide water restrictions have been imposed in an effort to reduce water use by 25%. The City of Oakland's Public Works Park & Tree Services Division has implemented water conserving measures that  include reducing irrigation in City parks, analyzing water bills to identify irregular water usage and replacing older irrigation systems with more efficient ones.","(37.8044, -122.2708)","(37.09024, -95.712891)"
50560,City of Oakland,Oakland,USA,North America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),"The  City of Oakland's Maritime Port recently announced a $60 million investment for strengthening a levee surrounding the airport's runway. To prevent sea surge, the Port also plans to raise parts of the Oakland Airport.","(37.8044, -122.2708)","(37.09024, -95.712891)"
14344,"City of Park City, UT","Park City, UT",USA,North America,Public,,2017,Increased water stress or scarcity,Water metering,Residential water meters exist. Adding water meters to municipal facilities in the short term.,"(40.6461, -111.498)","(37.09024, -95.712891)"
14344,"City of Park City, UT","Park City, UT",USA,North America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),Stormwater management plan and emergency alert system in place.,"(40.6461, -111.498)","(37.09024, -95.712891)"
35874,City of Phoenix,Phoenix,USA,North America,Public,,2017,Increased water stress or scarcity,Investment in existing water supply infrastructure,"SUPPLY The Phoenix Water Services Department has added two new initiatives in 2014; 1) to add water reserves including underground water storage in Tucson per a Tucson-Phoenix Water Agreement; and 2) $5 million Water Resiliency Fund that increase water storage capacity.   
Arizona Water Bank Authority has recharged over 3 million acre-feet of Colorado River water for municipal and industrial users of the Central Arizona Project (CAP).  The CAP is an aqueduct bringing Colorado River water east into Arizona. The water has been stored in numerous aquifer storage facilities within CAP’s service area, and the credits for this water will be available for use by CAP when municipal subcontractor allocations are reduced. At present, approximately 75 percent of the 638,000 acre-feet of municipal and industrial subcontract water is used annually. Thus, water stored to date can provide benefits for an extended period if the proper infrastructure is in place.  Aside from additional surface water supplies that can use current treatment capacity, local groundwater is the most accessible supplemental supply. Through the City’s Designation of Assured Water Supply, legal and physical access to more than 3.5 million acre-feet of groundwater in the Phoenix service area over a 100 year period, (an average of more than 35,000 acre-feet per year) has been demonstrated.","(33.4484, -112.074)","(37.09024, -95.712891)"
43905,City of San Antonio,San Antonio,USA,North America,Public,,2017,Increased water stress or scarcity,Diversifying water supply (including new sources),"1. Carrizo Water By the end of 2013, Carrizo Aquifer water will be piped to San Antonio from western Gonzales County, enough to supply 60,000 homes. 2. Groundwater Desalination Already under construction in southern Bexar County, the desal project will come on line in 2016 and deliver up to 28,000 acre-feet per year by 2026. 3. Proposed Future Supplies Regional Water Supply In 2011, SAWS requested competitive sealed proposals for delivery of a turn-key water supply of up to 50,000 acre-feet per year by 2018. Project evaluation and selection is expected by the end of 2012. 4. Expanded Local Carrizo Aquifer Existing infrastructure and wells in southern Bexar County would be used to produce up to an additional 21,000 acre-feet per year by 2027. 5. SAWS has significant conservation programs in place for residents, institutions, and businesses.","(29.4241, -98.4936)","(37.09024, -95.712891)"
35874,City of Phoenix,Phoenix,USA,North America,Public,,2017,Higher water prices,Conservation incentives,"DEMAND •  Promote strengthening of national plumbing efficiency standards that will provide indirect long term benefits;  • Expand system leak detection activities and further reduce water lost to leaks where cost-effective in comparison to supply development;  • Support continued research and implementation of water efficiency technologies that over time can lead to substantial efficiency gains;  • Evaluate the relative cost-effectiveness, feasibility and potential consequences of regulatory programs proposed for state legislation and rules;  • Expand customer educational efforts to encourage long-term preparation for deficit conditions through water-efficient landscape choices;  • Explore the potential for changes in the rate structure to preserve flexibility in meeting objectives during both shortages and normal supply conditions;  • Evaluate the cost-effectiveness of incentives to promote early incorporation of promising water-efficient technologies within the service area;  • Establish an industrial, commercial and institutional (ICI) audit and review process to better understand characteristics of these uses and to encourage incorporation of best management practices;  • Re-assess and update the Turf Management Program to better ensure compliance with Arizona Department of Water Resources requirements and to encourage incorporation of best management practices; and  • Formally establish a “Residential End User Audit Program” to continue the work recently initiated by staff and consultants to better understand residential demand characteristics, including the ratio of indoor to outdoor water use.   Phoenix per-capita water use has decreased by more than 25 percent since the mid- 1990’s.","(33.4484, -112.074)","(37.09024, -95.712891)"
49327,City of Providence,Providence,USA,North America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),,"(41.824, -71.4128)","(37.09024, -95.712891)"
58511,"City of Richmond, CA","Richmond, CA",USA,North America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"Both EBMUD and the City of Richmond are increasing efforts to improve conservation, upgrade storage and delivery systems, and diversify local water supplies. The City will promote water conservation and recycled water use by supporting EBMUD outreach and conservation programs.  The City will expand upon existing water conservation efforts in schools in the West Contra Costa Unified School District (WCCUSD) to further engage students through water usage assessments, water reduction targets, and tracking programs of school facilities to teach students how to perform a water audit, with a follow up assignment to apply these auditing, target setting, and tracking skills at home.","(37.9358, -122.3477)","(37.09024, -95.712891)"
58511,"City of Richmond, CA","Richmond, CA",USA,North America,Public,,2017,Declining water quality,Conservation awareness and education,"Both EBMUD and the City of Richmond are increasing efforts to improve conservation, upgrade storage and delivery systems, and diversify local water supplies. The City will promote water conservation and support EBMUD’s efforts to expand recycled water use to serve its City of Richmond customers, and support the use of graywater and rainwater catchment systems by local residents and businesses. The City will support EBMUD’s efforts to maintain and upgrade water infrastructure and conveyance systems to minimize leaks and prevent waste. The City will also continue to support and promote EBMUD’s outreach and conservation programs (WaterSmart Calculator, water surveys,  WaterSmart Gardener, WaterSmart Business Certification, etc.), as well as Property Assessed Clean Energy (PACE) programs that provide financing for water efficiency and conservation improvements.","(37.9358, -122.3477)","(37.09024, -95.712891)"
58511,"City of Richmond, CA","Richmond, CA",USA,North America,Public,,2017,Flooding,Investment in existing water supply infrastructure,"The City will work to develop a shoreline protection system that is initially built to accommodate a mid-term rise in sea level of 16 inches, along with an Adaptive Management Plan. To ensure water supply reliability EBMUD has built redundancy into their distribution and treatment systems.","(37.9358, -122.3477)","(37.09024, -95.712891)"
58511,"City of Richmond, CA","Richmond, CA",USA,North America,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,"Both EBMUD and the City of Richmond are increasing efforts to improve conservation, upgrade storage and delivery systems, and diversify local water supplies.","(37.9358, -122.3477)","(37.09024, -95.712891)"
58511,"City of Richmond, CA","Richmond, CA",USA,North America,Public,,2017,Higher water prices,Conservation incentives,"The City will promote water conservation and recycled water use by supporting EBMUD outreach and conservation programs (WaterSmart Calculator, water surveys,  WaterSmart Gardener, WaterSmart Business Certification, etc.), as well as Property Assessed Clean Energy (PACE) programs that provide financing for water efficiency and conservation improvements. Increasing water efficiency in homes helps to decrease financial impacts from increased water prices.","(37.9358, -122.3477)","(37.09024, -95.712891)"
49334,"City of Richmond, VA","Richmond, VA",USA,North America,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,Replacing infrastructure,"(37.540725, -77.436048)","(37.09024, -95.712891)"
35878,City of Sacramento,Sacramento,USA,North America,Public,,2017,Increased water stress or scarcity,Water use restrictions,"The City has complied with mandatory water restrictions and achieved mandatory water reductions imposed by the state, attaining a 28% reduction in community water use below 2013 levels. However, the City is actively planning and preparing for water scarcity. The City is installing water meters at all water accounts serviced by the city, and will institute metered billing. The City continues to actively promote water conservation and efficiency. The City collaborates with regional and state agencies for water planning, seeking to prepare for future uncertainties in supply.","(38.5816, -121.4944)","(37.09024, -95.712891)"
43907,City of Indianapolis,Indianapolis,USA,North America,Public,,2017,Increased water stress or scarcity,Watershed preservation,"In addition to supporting and promoting water efficiency programs, the city is a member of the local watershed alliance, the White River Alliance (WRA). City staff sit on the WRA board, which focuses on improving and protecting water resources with our region.","(39.767625, -86.178469)","(37.09024, -95.712891)"
35883,City of San José,San José,USA,North America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"Currently, the City administers two water conservation programs: the Water Efficient Technologies program and the Neighborhood Preservation Water Conservation Program. In addition, the City works with the Santa Clara Valley Water District on various indoor, outdoor, residential and commercial programs such as high efficiency toilet rebates. Since 1992, the City’s efforts and funding have achieved approximately 8 million gallons per day of reduced water use. Due to the ongoing drought in California the City has enhanced its water conservation efforts city wide. Measures include repairing water leaks as they occur, minimizing hardscape and window cleaning, utilizing more recycled water for landscaping and construction projects, and increasing water use education.","(37.3382, -121.8863)","(37.09024, -95.712891)"
54110,City of Santa Monica,Santa Monica,USA,North America,Public,,2017,Increased water stress or scarcity,Diversifying water supply (including new sources),"The City is developing a Sustainable Water Infrastructure Project that will increase rainwater capture, utilize brackish water and sewer water for non-potable uses.","(34.0219, -118.4814)","(37.09024, -95.712891)"
54085,City of Savannah,Savannah,USA,North America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),All stormwater infrastructure is being prepared for a 100-year flood.  Green infrastructure projects are being prepared for flood prone areas of the City.,"(32.0835, -81.0998)","(37.09024, -95.712891)"
54085,City of Savannah,Savannah,USA,North America,Public,,2017,Declining water quality,Diversifying water supply (including new sources),"The City of Savannah has built an I&D water plant using surface waters from a tributary of the Savannah River, in addition to the 22 wells that supply water from the Floridan Aquifer, to help diversify the water supply and reduce saltwater intrusion issues.","(32.0835, -81.0998)","(37.09024, -95.712891)"
35393,City of St Louis,St Louis,USA,North America,Public,,2017,Flooding,Conservation awareness and education,The city is educating people on the hazards faced by flooding and the effect this can have on our water supply. We are currently in the process of drafting future actions for adapting to flooding,"(38.627, -90.1994)","(37.09024, -95.712891)"
52894,City of Winston-Salem,Winston-Salem,USA,North America,Public,,2017,Increased water stress or scarcity,Municipal water efficiency retrofits,Upgrading water system with energy efficient motors throughout the system.,"(36.0999, -80.2442)","(37.09024, -95.712891)"
31177,Salt Lake City,Salt Lake City,USA,North America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,Large number of actions - details at http://www.slcgov.com/waterconservation,"(40.7608, -111.891)","(37.09024, -95.712891)"
31177,Salt Lake City,Salt Lake City,USA,North America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),Large number of actions - details at http://www.slcgov.com/utilities/public-utilities-flood-control-stormwater,"(40.7608, -111.891)","(37.09024, -95.712891)"
31177,Salt Lake City,Salt Lake City,USA,North America,Public,,2017,Declining water quality,Investment in existing water supply infrastructure,Large number of actions - details at http://www.slcgov.com/utilities/public-utilities-quality-drinking-water,"(40.7608, -111.891)","(37.09024, -95.712891)"
31177,Salt Lake City,Salt Lake City,USA,North America,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,Continuously evaluating infrastructure improvements.,"(40.7608, -111.891)","(37.09024, -95.712891)"
59595,"City of Brisbane, CA","Brisbane, CA",USA,North America,Public,,2017,Flooding,Investment in existing water supply infrastructure,Included with the City's Capital Improvement Plan.,"(37.6808, -122.4)","(37.09024, -95.712891)"
59540,"City of Elgin, IL","Elgin, IL",USA,North America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,,"(42.060386, -88.26297)","(37.09024, -95.712891)"
59540,"City of Elgin, IL","Elgin, IL",USA,North America,Public,,2017,Declining water quality,Stormwater management (natural or man-made infrastructure),,"(42.060386, -88.26297)","(37.09024, -95.712891)"
59540,"City of Elgin, IL","Elgin, IL",USA,North America,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,"This includes the development of a Long Term Control Plan submitted to the IL EPA for stormwater management, combined sewer separation and to control combined sewer overflows.","(42.060386, -88.26297)","(37.09024, -95.712891)"
59540,"City of Elgin, IL","Elgin, IL",USA,North America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),The city received a grant in 2011 for the development and installation of parkway rain gardens in combined sewer neighborhoods to decrease runoff. In addition the city discusses stormwater management with residents via its NPDES permit and its educational requirements.,"(42.060386, -88.26297)","(37.09024, -95.712891)"
59588,"Town of Chapel Hill, NC","Chapel Hill, NC",USA,North America,Public,,2017,Increased water stress or scarcity,Use of non-potable water outside,,"(35.9132, -79.0558)","(37.09024, -95.712891)"
59535,"Town of Vail, CO","Vail, CO",USA,North America,Public,,2017,Declining water quality,Watershed preservation,"Restore the Gore Strategic Action Plan in place 5 strategies: Education, BMPs, Data collection/monitoring, Site specific projects (stormwater infrastructure and revegetation), rules and regulations.","(39.6403, -106.3742)","(37.09024, -95.712891)"
43907,City of Indianapolis,Indianapolis,USA,North America,Public,,2017,Inadequate or aging infrastructure,Municipal water efficiency retrofits,"During recent energy retrofits to 61 city buildings, water efficiency improvements were also made to decrease water use.","(39.767625, -86.178469)","(37.09024, -95.712891)"
59631,"City of San Leandro, CA","San Leandro, CA",USA,North America,Public,,2017,Water losses,Investment in existing water supply infrastructure,"per EBMUD above, the strategy for changes in run off:

*Increase system storage;
*optimize use and storage of excess water in wet years; 
*reoperation of the Mokelumne Reservoir system;
* Intra- and Inter-regional cooperation/agreements","(37.72493, -122.156077)","(37.09024, -95.712891)"
31112,Kaohsiung City Government,Kaohsiung,Taiwan,East Asia,Public,,2017,Increased water stress or scarcity,Diversifying water supply (including new sources),"For the purpose of the stability supply for water resources in Kaohsiung Region, the riverbank filtration as water intake works nearby the Kaoping River is to be accessed and acted as backup and supplement water resources to increase the reaction capacity of the water allocations. 
Develop interflow resources and riverbank water intake works evaluation near the Kaoping River(Weng park and Jhuliao area).

Promote the construction of a desalination plant, given the high value industries without water will cause serious losses due to high water bills are more affordable to obtain a stable supply of incentives, short-term high-value industries will be set as the main objective to promote.
Desalination of seawater: Kaohsiung area planning assessment on the daily processing capacity of 100,000 CMD desalination plant.

Currently WRA schools around the reservoir has handled promotional activities related to water resources in the region and start promoting water conservation education rooted in actions to promote water conservation education materials on campus and agencies, programs and activities, organizing seminars train community love the water, promoting water conservation pickets and summer water conservation conservation camp, the concept of water conservation from an early age.

Currently wastewater treatment technology has been available since the output to meet the water quality standards of recycled water, the water quality is stable and not subject to weather the impact of its effective recycling can improve the utilization of water resources for industrial zones, science parks area of high water rates Insurance is water.
Reclamation of waste water –Fongshan waste water treatment plant is formally under building, which recycle waste water and then reuse.  Linhai waste water treatment plant now is under design and the construction expected to bid at 2018.","(22.629705, 120.343804)","(23.69781, 120.960515)"
56276,New Taipei City Government,New Taipei ,Taiwan,East Asia,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"We subsidize communities to retrofit their high-water consumption applications, promote water-use recording and water reclamation and reuse by ""Regulations for reforming grants to low-carbon community"".","(25.0111, 121.4458)","(23.69781, 120.960515)"
57347,Pingtung County Government,Pingtung ,Taiwan,East Asia,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"1. Enhance the awareness of water saving to increase the demanding of water.
2. During the dry spell, the water company would implement the water rationing base on the regulation.
3. Put more investment on water supply infrastructure to improve the water supply ability and reduce the water supply risk.","(22.6558, 120.4703)","(23.69781, 120.960515)"
54386,Tainan City Government,Tainan ,Taiwan,East Asia,Public,,2017,Increased water stress or scarcity,Diversifying water supply (including new sources),We built the water-recycle center to increase the usage of water.,"(22.9999, 120.2269)","(23.69781, 120.960515)"
31446,Taipei City Government,Taipei,Taiwan,East Asia,Public,,2017,Declining water quality,Investment in existing water supply infrastructure,"1. Holding the water saving lottery to encourage people to water conservation.
2. Setting up new water treatment equipment.
3. Counselling establishment and maintenance of high altitude residents’ simple water supply system.
4. Planning to set up 45 emergency water supply stations which could provide drinking water to approximately 344,000 tons and supply water about 28 days for 3.92 million populations.","(25.037525, 121.563782)","(23.69781, 120.960515)"
31446,Taipei City Government,Taipei,Taiwan,East Asia,Public,,2017,Other:,Conservation incentives,"1. An online water quality monitoring system based on ISO27001 for 24-hours continuous water quality monitoring from the source to the user.
2. Routine sampling for water supply districts from fixed sampling points.
3. Establish the detection procedures of new pollutants.
4. Promoting “water supply pipe network improvement and management plan"" since 2006, and a total replacement 1,776.3 kilometers till the end of 2016.","(25.037525, 121.563782)","(23.69781, 120.960515)"
54395,Taoyuan City Government,Taoyuan,Taiwan,East Asia,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,Encourage the use of water-saving devices and recycling through Propaganda campaign.,"(24.993113, 121.301028)","(23.6978, 120.9605)"
54395,Taoyuan City Government,Taoyuan,Taiwan,East Asia,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),"Review the flood control design standards, and ensure all the Infrastructure designs and construction designs should take the impact of extreme weather into consideration.","(24.993113, 121.301028)","(23.6978, 120.9605)"
54395,Taoyuan City Government,Taoyuan,Taiwan,East Asia,Public,,2017,Declining water quality,Watershed preservation,"Strengthen soil and water conservation around the catchment area, and reduce the probability of landslide occurrence due to heavy rain erosion, in order to avoid having impact at lower basin.","(24.993113, 121.301028)","(23.6978, 120.9605)"
60656,"City of Piedmont, CA","Piedmont, CA",USA,North America,Public,,2017,Increased water stress or scarcity,Efficiency regulations or standards,"The City of Piedmont does not set water prices or landscape regulations. However, East Bay Municipal Utilties District has instituted an extra fee during drought and has encourage users to conserve more water. The Department of Water Resources has also increased the rigor of it Water Efficiency Landscape Ordinance that Piedmont enforces.","(37.8244, -122.2316)","(37.09024, -95.712891)"
60656,"City of Piedmont, CA","Piedmont, CA",USA,North America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),The City is in the process of identifying flooding and landslide prone areas and development stormwater management systems that help alleviate the risk.,"(37.8244, -122.2316)","(37.09024, -95.712891)"
60656,"City of Piedmont, CA","Piedmont, CA",USA,North America,Public,,2017,Higher water prices,Conservation awareness and education,"Similar to the response from Increased water stress of scarcity. As EBMUD prices rise, we can encourage residents to use less and provide information for rebates and water saving measures indoors and outdoors.","(37.8244, -122.2316)","(37.09024, -95.712891)"
49359,City of Harare,Harare,Zimbabwe,Africa,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,awareness on ways of conserving water via the media,"(-17.828432, 30.932822)","(-19.015438, 29.154857)"
49359,City of Harare,Harare,Zimbabwe,Africa,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,replacement of old rusty pipes with  new pvc pipes,"(-17.828432, 30.932822)","(-19.015438, 29.154857)"
59631,"City of San Leandro, CA","San Leandro, CA",USA,North America,Public,,2017,Water losses,Diversifying water supply (including new sources),"per EBMUD above, the strategy for overall runoff volume decreases:

*Development of drought resistant supplies
*Diversification of water supply source locations","(37.72493, -122.156077)","(37.09024, -95.712891)"
